season,phase,date,team,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7
2010-11,RS,2011-02-09,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2011-02-11,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2011-02-13,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-02-14,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2010-11,RS,2011-02-16,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2011-02-22,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-02-23,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2011-02-25,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2010-11,RS,2011-02-26,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2010-11,RS,2011-02-28,Los Angeles Clippers,No,No,No,Yes,No,Yes
2010-11,RS,2011-03-02,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-03-05,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-03-07,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-03-09,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-03-11,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-03-12,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2011-03-14,Los Angeles Clippers,No,No,No,Yes,No,No
2010-11,RS,2011-03-16,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-03-19,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-03-20,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2011-03-23,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-03-25,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-03-26,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2011-03-30,Los Angeles Clippers,No,No,No,No,No,No
2010-11,RS,2011-04-01,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-04-02,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2010-11,RS,2011-04-05,Los Angeles Clippers,Yes,Yes,No,No,No,No
2010-11,RS,2011-04-06,Los Angeles Clippers,Yes,No,Yes,No,No,No
2010-11,RS,2011-04-08,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2010-11,RS,2011-04-09,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2010-11,RS,2011-04-13,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2011-12-25,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2011-12-28,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2011-12-30,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-01-01,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-01-04,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-01-07,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-01-10,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-01-11,Los Angeles Clippers,Yes,No,Yes,No,No,No
2011-12,RS,2012-01-14,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-01-16,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-01-17,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2011-12,RS,2012-01-18,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2011-12,RS,2012-01-20,Los Angeles Clippers,No,No,No,Yes,Yes,Yes
2011-12,RS,2012-01-22,Los Angeles Clippers,No,No,No,No,No,Yes
2011-12,RS,2012-01-25,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-01-26,Los Angeles Clippers,Yes,No,Yes,No,No,No
2011-12,RS,2012-01-29,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-01-30,Los Angeles Clippers,Yes,No,Yes,No,No,No
2011-12,RS,2012-02-01,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2011-12,RS,2012-02-02,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2011-12,RS,2012-02-04,Los Angeles Clippers,No,No,No,Yes,No,Yes
2011-12,RS,2012-02-06,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-02-08,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-02-10,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-02-11,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2011-12,RS,2012-02-13,Los Angeles Clippers,No,No,No,Yes,No,No
2011-12,RS,2012-02-15,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-02-16,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2011-12,RS,2012-02-18,Los Angeles Clippers,No,No,No,Yes,No,No
2011-12,RS,2012-02-20,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-02-22,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-02-28,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-03-01,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-03-02,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2011-12,RS,2012-03-04,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2011-12,RS,2012-03-05,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2011-12,RS,2012-03-07,Los Angeles Clippers,No,No,No,Yes,No,Yes
2011-12,RS,2012-03-09,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-03-11,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-03-12,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2011-12,RS,2012-03-14,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2011-12,RS,2012-03-15,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2011-12,RS,2012-03-17,Los Angeles Clippers,Yes,Yes,No,Yes,No,Yes
2011-12,RS,2012-03-18,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2011-12,RS,2012-03-20,Los Angeles Clippers,Yes,Yes,No,Yes,No,Yes
2011-12,RS,2012-03-21,Los Angeles Clippers,Yes,Yes,No,Yes,Yes,Yes
2011-12,RS,2012-03-22,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2011-12,RS,2012-03-24,Los Angeles Clippers,No,No,No,Yes,Yes,Yes
2011-12,RS,2012-03-26,Los Angeles Clippers,No,No,No,No,No,Yes
2011-12,RS,2012-03-28,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-03-30,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-03-31,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2011-12,RS,2012-04-02,Los Angeles Clippers,No,No,No,Yes,No,No
2011-12,RS,2012-04-04,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-04-05,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2011-12,RS,2012-04-07,Los Angeles Clippers,No,No,No,Yes,No,No
2011-12,RS,2012-04-09,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-04-11,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-04-12,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2011-12,RS,2012-04-14,Los Angeles Clippers,No,No,No,Yes,No,No
2011-12,RS,2012-04-16,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-04-18,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-04-19,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2011-12,RS,2012-04-22,Los Angeles Clippers,No,No,No,No,No,No
2011-12,RS,2012-04-24,Los Angeles Clippers,Yes,Yes,No,No,No,No
2011-12,RS,2012-04-25,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2012-10-31,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-11-02,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2012-11-03,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2012-11-05,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2012-11-07,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2012-11-08,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2012-13,RS,2012-11-11,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-11-14,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-11-17,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-11-19,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-11-21,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-11-23,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2012-11-24,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2012-11-26,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2012-11-28,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-01,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-03,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-05,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-08,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2012-12-09,Los Angeles Clippers,Yes,No,Yes,No,No,No
2012-13,RS,2012-12-11,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2012-13,RS,2012-12-12,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2012-13,RS,2012-12-15,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-17,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-19,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-21,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-23,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-25,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2012-12-27,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2012-12-28,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2012-12-30,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2013-01-01,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-01-02,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2012-13,RS,2013-01-04,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2012-13,RS,2013-01-05,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2012-13,RS,2013-01-09,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-01-12,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-01-14,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-01-15,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-01-17,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2013-01-19,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-01-21,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-01-22,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-01-24,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2013-01-26,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-01-27,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2012-13,RS,2013-01-30,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-02-01,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-02-03,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-02-04,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-02-06,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2013-02-08,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-02-10,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-02-11,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-02-13,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2012-13,RS,2013-02-14,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2012-13,RS,2013-02-21,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-02-23,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-02-26,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-02-28,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-03-01,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-03-03,Los Angeles Clippers,No,No,No,Yes,No,No
2012-13,RS,2013-03-06,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-03-07,Los Angeles Clippers,Yes,No,Yes,No,No,No
2012-13,RS,2013-03-10,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-03-13,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-03-17,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-03-19,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-03-20,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-03-23,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-03-26,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-03-27,Los Angeles Clippers,Yes,No,Yes,No,No,No
2012-13,RS,2013-03-29,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2012-13,RS,2013-03-30,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2012-13,RS,2013-04-01,Los Angeles Clippers,No,No,No,Yes,No,Yes
2012-13,RS,2013-04-03,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-04-07,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-04-10,Los Angeles Clippers,No,No,No,No,No,No
2012-13,RS,2013-04-12,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-04-13,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2012-13,RS,2013-04-16,Los Angeles Clippers,Yes,Yes,No,No,No,No
2012-13,RS,2013-04-17,Los Angeles Clippers,Yes,No,Yes,No,No,No
2013-14,RS,2013-10-29,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-10-31,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-11-01,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2013-11-04,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-11-06,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-11-07,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2013-11-09,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2013-11-11,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-11-13,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-11-16,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-11-18,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-11-20,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-11-21,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2013-11-23,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2013-14,RS,2013-11-24,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,Yes
2013-14,RS,2013-11-27,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-11-29,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-12-01,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-12-04,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-12-05,Los Angeles Clippers,Yes,No,Yes,No,No,No
2013-14,RS,2013-12-07,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2013-12-09,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-12-11,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-12-12,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2013-12-14,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2013-12-16,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-12-18,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2013-12-21,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-12-22,Los Angeles Clippers,Yes,No,Yes,No,No,No
2013-14,RS,2013-12-25,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2013-12-26,Los Angeles Clippers,Yes,No,Yes,No,No,No
2013-14,RS,2013-12-28,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2013-12-30,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-01-01,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-01-03,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-01-04,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-01-06,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2014-01-08,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-01-10,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-01-15,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-01-17,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-01-18,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-01-20,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2014-01-22,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-01-24,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-01-25,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-01-27,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2014-01-29,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-01-30,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2013-14,RS,2014-02-01,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2014-02-03,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-05,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-07,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-09,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-12,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-18,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-21,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-02-23,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-02-24,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-02-26,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2014-03-01,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-04,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-06,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-08,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-10,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-12,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-14,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-16,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-03-17,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-03-22,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-24,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-03-26,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-03-27,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-03-29,Los Angeles Clippers,No,No,No,Yes,No,No
2013-14,RS,2014-03-31,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-04-02,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-04-03,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2013-14,RS,2014-04-06,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-04-09,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-04-12,Los Angeles Clippers,No,No,No,No,No,No
2013-14,RS,2014-04-15,Los Angeles Clippers,Yes,Yes,No,No,No,No
2013-14,RS,2014-04-16,Los Angeles Clippers,Yes,No,Yes,No,No,No
2014-15,RS,2014-10-30,Los Angeles Clippers,Yes,Yes,No,No,No,No
2014-15,RS,2014-10-31,Los Angeles Clippers,Yes,No,Yes,No,No,No
2014-15,RS,2014-11-02,Los Angeles Clippers,Yes,Yes,No,Yes,No,No
2014-15,RS,2014-11-03,Los Angeles Clippers,Yes,No,Yes,Yes,Yes,No
2014-15,RS,2014-11-05,Los Angeles Clippers,No,No,No,Yes,No,Yes
2014-15,RS,2014-11-08,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-11-10,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-11-15,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-11-17,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-11-19,Los Angeles Clippers,Yes,Yes,No,No,No,No
2014-15,RS,2014-11-20,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2014-15,RS,2014-11-23,Los Angeles Clippers,Yes,Yes,No,No,No,No
2014-15,RS,2014-11-24,Los Angeles Clippers,Yes,No,Yes,No,No,No
2014-15,RS,2014-11-26,Los Angeles Clippers,No,No,No,Yes,No,No
2014-15,RS,2014-11-28,Los Angeles Clippers,Yes,Yes,No,No,No,No
2014-15,RS,2014-11-29,Los Angeles Clippers,Yes,No,Yes,Yes,No,Yes
2014-15,RS,2014-12-01,Los Angeles Clippers,No,No,No,Yes,No,No
2014-15,RS,2014-12-03,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-12-06,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-12-08,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-12-10,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-12-12,Los Angeles Clippers,Yes,Yes,No,No,No,No
2014-15,RS,2014-12-13,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
2014-15,RS,2014-12-15,Los Angeles Clippers,No,No,No,Yes,No,No
2014-15,RS,2014-12-17,Los Angeles Clippers,No,No,No,No,No,No
2014-15,RS,2014-12-19,Los Angeles Clippers,Yes,Yes,No,No,No,No
2014-15,RS,2014-12-20,Los Angeles Clippers,Yes,No,Yes,Yes,No,No
