visitor,Opponent,Date,game_id,season,game_net_rating,win_percent_diff,games_played,net_rating_diff,score_diff,wins_vis,loss_vis,hollow_wind60_cent,hollow_wind50_cent,hollow_wind40_cent,hollow_wind30_cent,hollow_wind20_cent,wind_10_center,wind_40_hollow,wind_35_hollow,wind_30_hollow,wind_25_hollow,wind_20_hollow,wind_15_hollow,wind_10_hollow_5,wind_5_hollow,wind_7_hollow,wind_10_hollow,wind_2,wind_5,wind_7,wind_10,wind_15,wind_20,wind_25,wind_30,wind_35,wind_40
Golden State Warriors,Los Angeles Lakers,2010-10-31,21000043,2010-11,-24.5,0,3,17,-24,2,1,5.90000000000001,-41.4,-90.5,-63.5,-97.5,-33.9,0,0,0,0,0,0,0,0,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
Utah Jazz,Oklahoma City Thunder,2010-10-31,21000042,2010-11,21.8,-1,3,-2,21,1,2,-22.1,36.6,-34.2,61.9,-20.8,-16.3,0,0,0,0,0,0,0,0,0,0,-54.6,-54.6,-54.6,-54.6,-54.6,-54.6,-54.6,-54.6,-54.6,-54.6
Portland Trail Blazers,Chicago Bulls,2010-11-01,21000044,2010-11,-13.2,0.5,4,1.3,-12,3,1,-9.7,-49.8,-98.8,54.3,-17.8,42.3,0,0,0,0,0,0,0,15.6,0,0,21.2,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
San Antonio Spurs,Los Angeles Clippers,2010-11-01,21000046,2010-11,9.6,0.5,2,-0.600000000000001,9,2,1,3.10000000000001,-9.19999999999999,46.2,46.9,95.3,128.7,0,0,0,0,0,0,0,11.1,0,0,48.5,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6
Toronto Raptors,Sacramento Kings,2010-11-01,21000045,2010-11,-3.2,-0.166666666666667,3,6.8,-3,1,2,-49.4,-28.2,9.50000000000001,63,56.6,31.3,0,0,0,0,0,0,0,0,0,0,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
Atlanta Hawks,Cleveland Cavaliers,2010-11-02,21000047,2010-11,14.6,0.666666666666667,4,1.1,12,4,0,159.7,97.1,25.4,170.6,15.2,49.3,0,0,0,0,0,0,0,6.5,0,0,32.1,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6
Boston Celtics,Detroit Pistons,2010-11-02,21000049,2010-11,23.6,0.666666666666667,4,1.4,23,3,1,86.5,19.3,22.7,111.3,97.5,48.6,0,0,0,0,0,0,0,7.7,0,0,4.5,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
Memphis Grizzlies,Los Angeles Lakers,2010-11-02,21000053,2010-11,-17,-0.333333333333333,4,10.6,-19,2,2,28.4,22,-78.5,36.5,-93.6,-78,0,0,0,0,0,0,0,-16.1,0,0,-16.5,-32.6,-32.6,-32.6,-32.6,-32.6,-32.6,-32.6,-32.6,-32.6
Minnesota Timberwolves,Miami Heat,2010-11-02,21000050,2010-11,-30.7,-0.416666666666667,4,-6.1,-32,1,3,-45,-91.6,-122.2,-94.9,-5.09999999999999,-142.1,0,0,0,0,0,0,0,5.6,0,0,-46.4,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8
Philadelphia 76ers,Washington Wizards,2010-11-02,21000048,2010-11,-0.9,0,4,-9.6,-1,0,4,21.8,16.9,16.2,40.1,26.8,30,0,0,0,0,0,0,0,-8.6,0,0,16.7,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
Portland Trail Blazers,Milwaukee Bucks,2010-11-02,21000052,2010-11,16.3,0.416666666666667,5,3.7,14,4,1,52.5,9.6,3.6,67,21.3,-18.3,0,0,0,0,0,0,0,26.7,0,0,3,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7
Dallas Mavericks,Denver Nuggets,2010-11-03,21000060,2010-11,1.1,0,3,6.5,1,3,1,-33.9,-19.2,-1.7,33.2,27.8,-2.1,0,0,0,0,0,0,0,0,0,0,-15.7,-15.7,-15.7,-15.7,-15.7,-15.7,-15.7,-15.7,-15.7,-15.7
Detroit Pistons,Atlanta Hawks,2010-11-03,21000054,2010-11,-10.7,-1,4,-7,-9,0,5,-104,-38.6,4.2,-80.4,-24.9,-61.6,0,0,0,0,0,0,0,-19.5,0,0,-51.6,-71.1,-71.1,-71.1,-71.1,-71.1,-71.1,-71.1,-71.1,-71.1
Indiana Pacers,Philadelphia 76ers,2010-11-03,21000057,2010-11,-27.4,0.666666666666667,3,9.2,-26,2,2,4.29999999999999,-48.4,-2.60000000000001,-8.7,72.4,93.9,0,0,0,0,0,0,0,11.8,0,0,15,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8
Los Angeles Lakers,Sacramento Kings,2010-11-03,21000065,2010-11,12.8,0.25,5,-3.4,12,5,0,63.8,-33.1,82.1,36.5,168,116.7,0,0,0,0,0,0,0,7.2,0,0,35,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2
Memphis Grizzlies,Golden State Warriors,2010-11-03,21000063,2010-11,-5.9,-0.166666666666667,5,-6.4,-6,2,3,24.5,-8.80000000000001,79.4,3.99999999999999,60.4,0.399999999999999,0,0,0,0,0,0,0,-18.9,0,0,7.1,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8
Milwaukee Bucks,Boston Celtics,2010-11-03,21000058,2010-11,-3,-0.5,3,0.3,-3,1,4,-63.5,-47.1,-35.2,-59.9,-117.6,-26.2,0,0,0,0,0,0,0,1,0,0,-52.9,-51.9,-51.9,-51.9,-51.9,-51.9,-51.9,-51.9,-51.9,-51.9
Minnesota Timberwolves,Orlando Magic,2010-11-03,21000056,2010-11,-41.6,-0.25,5,-3.2,-42,1,4,-96.4,-69.9,6.19999999999999,-46.2,-52,-85.5,0,0,0,0,0,0,0,7.9,0,0,-46.7,-38.8,-38.8,-38.8,-38.8,-38.8,-38.8,-38.8,-38.8,-38.8
Oklahoma City Thunder,Los Angeles Clippers,2010-11-03,21000064,2010-11,-14.5,0.666666666666667,4,-4.8,-15,2,2,-35.3,-30,60,-5.79999999999999,84.2,73.6,0,0,0,0,0,0,0,41.9,0,0,6.9,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8
San Antonio Spurs,Phoenix Suns,2010-11-03,21000062,2010-11,2,0.333333333333333,3,7.4,2,3,1,22.5,55.5,61,27.5,88.5,62.6,0,0,0,0,0,0,0,15.6,0,0,12.8,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4
Toronto Raptors,Utah Jazz,2010-11-03,21000061,2010-11,-17,0,4,3,-17,1,3,-16.2,-56.5,-62.6,-71,15.9,-12.8,0,0,0,0,0,0,0,16.5,0,0,14.2,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
New York Knicks,Chicago Bulls,2010-11-04,21000066,2010-11,9.3,-0.333333333333333,4,-13.1,8,2,2,-30.2,-38.5,-97.4,44.1,16.8,-73.4,0,0,0,0,0,0,0,19.1,0,0,-31.5,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4,-12.4
Oklahoma City Thunder,Portland Trail Blazers,2010-11-04,21000067,2010-11,3.4,-0.3,5,-2.2,1,3,2,24,-39.5,45.7,-32.2,53.5,-74.4,0,0,0,0,0,0,0,-18.8,0,0,-39.4,-58.2,-58.2,-58.2,-58.2,-58.2,-58.2,-58.2,-58.2,-58.2
Atlanta Hawks,Minnesota Timberwolves,2010-11-05,21000074,2010-11,10.3,0.8,6,15,10,6,0,65,83.3,10,30,50.5,125.8,0,0,0,0,0,0,0,32.2,0,0,97.6,129.8,129.8,129.8,129.8,129.8,129.8,129.8,129.8,129.8
Chicago Bulls,Boston Celtics,2010-11-05,21000073,2010-11,-5.8,-0.3,5,2.7,-5,2,3,35.7,33.9,43.7,-65,-29.5,-51.4,0,0,0,0,0,0,0,-5.9,0,0,-22.7,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6,-28.6
Cleveland Cavaliers,Philadelphia 76ers,2010-11-05,21000070,2010-11,8.5,0.05,5,13.8,7,2,3,-125.9,-59.2,-4.59999999999999,-133,-26.3,-25.4,0,0,0,0,0,0,0,12.6,0,0,-44.4,-31.8,-31.8,-31.8,-31.8,-31.8,-31.8,-31.8,-31.8,-31.8
Los Angeles Clippers,Denver Nuggets,2010-11-05,21000077,2010-11,-8.8,-0.3,6,10.2,-7,1,5,1.19999999999999,-42.1,9.1,-16.4,-30.9,-112.3,0,0,0,0,0,0,0,-69.5,0,0,-6.1,-75.6,-75.6,-75.6,-75.6,-75.6,-75.6,-75.6,-75.6,-75.6
Memphis Grizzlies,Phoenix Suns,2010-11-05,21000076,2010-11,-3.4,0.15,6,4.6,-5,2,4,92.7,35.7,13.4,-43.6,64.7,-60.6,0,0,0,0,0,0,0,-1.1,0,0,-12.5,-13.6,-13.6,-13.6,-13.6,-13.6,-13.6,-13.6,-13.6,-13.6
Milwaukee Bucks,Indiana Pacers,2010-11-05,21000068,2010-11,4.9,-0.3,4,0.4,4,2,4,0.20000000000001,-6.2,35.7,10.8,-74.1,-30,0,0,0,0,0,0,0,2.7,0,0,-5.3,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6
Toronto Raptors,Los Angeles Lakers,2010-11-05,21000079,2010-11,-4,-0.75,5,10.2,-5,1,4,-119.9,-3.2,-79.7,-57.4,-32.1,-137.7,0,0,0,0,0,0,0,-18.6,0,0,-50,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6
Utah Jazz,Golden State Warriors,2010-11-05,21000078,2010-11,-7.4,-0.25,5,-9.8,-7,2,3,12.6,-15.3,95,56.7,86,39.1,0,0,0,0,0,0,0,-61,0,0,57.4,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6
Washington Wizards,New York Knicks,2010-11-05,21000072,2010-11,-20.3,-0.166666666666667,4,10.7,-21,1,3,-16.8,-36.4,-42,-89.2,-36,-10.7,0,0,0,0,0,0,0,-32.1,0,0,-6.5,-38.6,-38.6,-38.6,-38.6,-38.6,-38.6,-38.6,-38.6,-38.6
Cleveland Cavaliers,Washington Wizards,2010-11-06,21000081,2010-11,6.1,0.15,6,4.2,5,3,3,-100.5,-33.3,1.19999999999999,-27,-50,9.00000000000001,0,0,0,0,0,0,0,17.4,0,0,13.3,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
Denver Nuggets,Dallas Mavericks,2010-11-06,21000085,2010-11,12.9,-0.15,5,-6.5,11,4,2,86.4,52.3,-8.49999999999998,-49.3,-8.8,-36.5,0,0,0,0,0,0,0,33.7,0,0,-11.4,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3
Houston Rockets,San Antonio Spurs,2010-11-06,21000084,2010-11,-0.7,-0.75,4,-2.9,-3,0,5,-34.7,-19.9,10.2,-27.3,-77.6,-85.4,0,0,0,0,0,0,0,-13.6,0,0,-26.4,-40,-40,-40,-40,-40,-40,-40,-40,-40
Los Angeles Clippers,Utah Jazz,2010-11-06,21000086,2010-11,-2.9,-0.233333333333333,7,6.8,-2,1,6,34.7,-0.799999999999997,-9.60000000000001,-31.4,-80.8,-84.3,0,0,0,0,0,0,-11.1,-26.7,-11.1,0,-3.9,-30.6,-41.7,-41.7,-41.7,-41.7,-41.7,-41.7,-41.7,-41.7
Memphis Grizzlies,Sacramento Kings,2010-11-06,21000088,2010-11,12,-0.266666666666667,7,7.2,9,3,4,64,44.6,24.3,8.8,84.5,16.6,0,0,0,0,0,0,-15.2,-6,-15.2,0,0.299999999999999,-5.7,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9
Toronto Raptors,Portland Trail Blazers,2010-11-06,21000087,2010-11,-14.1,-0.466666666666667,6,-1.2,-13,1,5,0.70000000000001,-53.9,-80.6,-5.8,1.3,-46.7,0,0,0,0,0,0,-15.6,7.9,-15.6,0,-33.9,-26,-41.6,-41.6,-41.6,-41.6,-41.6,-41.6,-41.6,-41.6
Boston Celtics,Oklahoma City Thunder,2010-11-07,21000093,2010-11,9,0.233333333333333,7,-1.8,9,6,1,46.6,56.2,-42.9,58.6,51.4,59.4,0,0,0,0,0,0,7.7,25.6,7.7,0,19.9,45.5,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2
Golden State Warriors,Detroit Pistons,2010-11-07,21000091,2010-11,-5.4,0.633333333333333,6,11,-5,4,2,-16.8,51.8,-58.7,31,-53.3,61.6,0,0,0,0,0,0,0,6.2,0,0,47.6,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8
Minnesota Timberwolves,Houston Rockets,2010-11-07,21000092,2010-11,-23.6,0.166666666666667,7,-12.5,-26,1,6,18.4,-60.2,-96.4,-14.8,-39.6,-53.7,0,0,0,0,0,0,-2.09999999999999,-34.5,-2.09999999999999,0,-39.1,-73.6,-75.7,-75.7,-75.7,-75.7,-75.7,-75.7,-75.7,-75.7
Philadelphia 76ers,New York Knicks,2010-11-07,21000089,2010-11,7.8,-0.433333333333333,7,1.1,10,2,5,41.8,-0.300000000000008,-42.8,-24.3,-39.9,-30.1,0,0,0,0,0,0,-8.6,-14.4,-8.6,0,-10.7,-25.1,-33.7,-33.7,-33.7,-33.7,-33.7,-33.7,-33.7,-33.7
Phoenix Suns,Atlanta Hawks,2010-11-07,21000090,2010-11,5.6,-0.6,6,-7,4,3,3,-90.4,-53.6,-20.7,24.7,-55.6,-44.1,0,0,0,0,0,0,-15.2,-28.2,-15.2,0,-19.6,-47.8,-63,-63,-63,-63,-63,-63,-63,-63
Portland Trail Blazers,Los Angeles Lakers,2010-11-07,21000094,2010-11,-25.2,-0.285714285714286,8,11.4,-25,5,3,-124.9,79,-16.6,-52.1,-17.2,-45.6,0,0,0,0,0,0,25.8,-40.6,25.8,0,-6.1,-46.7,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9,-20.9
Atlanta Hawks,Orlando Magic,2010-11-08,21000096,2010-11,-2.2,0.0571428571428571,8,11.8,-4,6,2,-33.3,-4.3,48.3,-11.9,25.4,-43.4,0,0,0,0,0,0,18.4,0.599999999999994,18.4,0,-6.5,-5.90000000000001,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Boston Celtics,Dallas Mavericks,2010-11-08,21000100,2010-11,-3.3,0.257142857142857,8,-2.9,-2,6,2,118,26.2,-26.3,20.7,19.5,46.7,0,0,0,0,0,0,-1,10.6,-1,0,26.6,37.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2
Denver Nuggets,Chicago Bulls,2010-11-08,21000098,2010-11,-0.1,0.266666666666667,6,-6.3,-2,4,3,-0.100000000000023,5.10000000000001,-127.6,-6.1,60.5,-3.7,0,0,0,0,0,0,0,24.3,0,0,36.8,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1
Golden State Warriors,Toronto Raptors,2010-11-08,21000097,2010-11,6.1,0.5,7,6.8,7,5,2,19.4,33,18.9,-19,-48.2,-13.2,0,0,0,0,0,0,8.8,-1.9,8.8,0,20.1,18.2,27,27,27,27,27,27,27,27
Phoenix Suns,Memphis Grizzlies,2010-11-08,21000099,2010-11,-8,0.0714285714285715,7,-4.6,-10,3,4,-60.8,-34.3,-32.7,27.6,-20.1,42.9,0,0,0,0,0,0,0.6,13,0.6,0,0.4,13.4,14,14,14,14,14,14,14,14
Denver Nuggets,Indiana Pacers,2010-11-09,21000101,2010-11,-29.9,0.171428571428571,7,-3.5,-31,4,4,96.2,15.2,54.2,30.4,12.9,55.3,0,0,0,0,0,0,22.6,19.1,22.6,0,45.1,64.2,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8
Detroit Pistons,Portland Trail Blazers,2010-11-09,21000106,2010-11,-25,-0.339285714285714,6,-5.4,-22,2,6,14.5,-70.1,5.40000000000001,-25.9,-91.8,-6.8,0,0,0,0,0,0,-32.9,-33.5,-17.3,-15.6,5.8,-27.7,-45,-60.6,-60.6,-60.6,-60.6,-60.6,-60.6,-60.6
Minnesota Timberwolves,Los Angeles Lakers,2010-11-09,21000107,2010-11,-6,-0.857142857142857,8,-2,-5,1,7,-107.9,-0.800000000000011,-81.3,-32.5,-70.8,-239.8,0,0,0,0,0,0,-1.40000000000001,-144,-1.40000000000001,0,-63.1,-207.1,-208.5,-208.5,-208.5,-208.5,-208.5,-208.5,-208.5,-208.5
New York Knicks,Milwaukee Bucks,2010-11-09,21000104,2010-11,-28.1,0.214285714285714,7,-10.7,-27,3,4,-36.2,40.3,14.3,21.1,75.5,20.6,0,0,0,0,0,0,6.1,26.4,6.1,0,10.6,37,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1
Utah Jazz,Miami Heat,2010-11-09,21000103,2010-11,3,-0.214285714285714,7,3.1,2,4,3,27.2,-70.6,-11.9,-104,35.4,-62.3,0,0,0,0,0,0,-22.6,20,-22.6,0,-65.6,-45.6,-68.2,-68.2,-68.2,-68.2,-68.2,-68.2,-68.2,-68.2
Dallas Mavericks,Memphis Grizzlies,2010-11-10,21000114,2010-11,15.5,0.166666666666667,6,-0.3,15,5,2,-89.9,-39.3,1.70000000000001,34.3,38.8,67,0,0,0,0,0,0,-1.2,46.4,-16.4,15.2,-29.6,16.8,0.4,15.6,15.6,15.6,15.6,15.6,15.6,15.6
Golden State Warriors,New York Knicks,2010-11-10,21000113,2010-11,5.9,0.285714285714286,8,20,5,6,2,58.9,-51.1,-5.29999999999999,-48.5,-54.1,-65.9,0,0,0,0,0,0,17.4,-34.6,17.4,0,36.6,2,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4
Houston Rockets,Washington Wizards,2010-11-10,21000111,2010-11,-6.1,-0.0333333333333334,6,2.8,-7,1,6,1.39999999999998,18.9,76.5,91.2,54.5,79.1,0,0,0,0,0,0,0,16.7,0,0,49.3,66,66,66,66,66,66,66,66,66
Los Angeles Clippers,San Antonio Spurs,2010-11-10,21000116,2010-11,-14.3,-0.708333333333333,8,0.600000000000001,-12,1,8,4.80000000000001,-37.5,55,-86.2,-82.2,-159.4,0,0,0,0,0,0,-28.9,-35.4,-28.9,0,-14.4,-49.8,-78.7,-78.7,-78.7,-78.7,-78.7,-78.7,-78.7,-78.7
